"2023-04-14T09:57:59.260Z","SYS","Session logging started.",""
"2023-04-14T09:57:59.260Z","EVSE","Session Started: EVConnected",""
"2023-04-14T09:58:00.262Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T09:58:00.616Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-14T09:58:00.766Z","EVSE","EIM Authorization received",""
"2023-04-14T09:58:00.767Z","EVSE","Transaction Started (549.198 kWh)",""
"2023-04-14T09:58:00.768Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-14T09:58:00.818Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-14T09:58:00.953Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T09:58:04.591Z","EVSE","SLAC MATCHING",""
"2023-04-14T09:58:05.355Z","EVSE","SLAC MATCHED",""
"2023-04-14T09:58:08.591Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-14T09:58:08.601Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-14T09:58:08.653Z","CAR","V2G SessionSetupReq",""
"2023-04-14T09:58:08.715Z","EVSE","V2G SessionSetupRes",""
"2023-04-14T09:58:08.827Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-14T09:58:08.929Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-14T09:58:09.011Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-04-14T09:58:09.103Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-04-14T09:58:09.300Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-14T09:58:09.330Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-14T09:58:09.422Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-14T09:58:09.546Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-14T09:58:09.660Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-14T09:58:09.721Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-14T09:58:10.458Z","EVSE","Start cable check...",""
"2023-04-14T09:58:10.459Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-14T09:58:10.480Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:10.552Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:10.656Z","EVSE","DC power supply: switch ON called",""
"2023-04-14T09:58:10.677Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:10.771Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:10.894Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:10.997Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:11.121Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:11.172Z","CAR","Event CarRequestedPower",""
"2023-04-14T09:58:11.246Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:11.328Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:11.430Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:11.563Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:11.645Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:11.767Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:11.902Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:12.025Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T09:58:12.046Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:12.088Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:12.221Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:12.345Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:12.449Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:12.583Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:12.654Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:12.746Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:12.869Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:12.971Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:13.043Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T09:58:13.116Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:13.219Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:13.355Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:13.417Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:13.560Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:13.632Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:13.769Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:13.862Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:13.974Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:14.035Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T09:58:14.036Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-14T09:58:14.078Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:14.180Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:14.327Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:14.338Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-04-14T09:58:14.420Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:14.564Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:14.689Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:14.730Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:14.843Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:14.948Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:15.072Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:15.166Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:15.300Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:15.392Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:15.516Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:15.641Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:15.733Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:15.825Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:15.948Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:16.050Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:16.173Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:16.317Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:16.420Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:16.493Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:16.616Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:16.708Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:16.842Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:16.935Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:17.047Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:17.149Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:17.314Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:17.377Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:17.490Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:17.603Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:17.759Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:17.810Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:17.933Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:18.070Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:18.152Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:18.288Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:18.412Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:18.473Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:18.586Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:18.678Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:18.813Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:18.950Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:19.043Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:19.146Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:19.301Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:19.362Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:19.475Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:19.588Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:19.680Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:19.782Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:19.905Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:20.021Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:20.156Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:20.281Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:20.343Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:20.445Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:20.579Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:20.706Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:20.787Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:20.890Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:21.024Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:21.148Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:21.230Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:21.332Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:21.487Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:21.550Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:21.663Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:21.765Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:21.890Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:21.992Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:22.117Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:22.209Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:22.332Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:22.435Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:22.599Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:22.642Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:22.799Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:22.914Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:22.997Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:23.091Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:23.215Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:23.339Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:23.431Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:23.526Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:23.649Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:23.751Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:23.875Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:23.973Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:24.098Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:24.201Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:24.313Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:24.427Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:24.542Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:24.626Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:24.749Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:24.852Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:24.965Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:25.070Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:25.206Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:25.299Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:25.423Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:25.506Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:25.629Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:25.732Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:25.877Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:25.949Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:26.115Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:26.177Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:26.290Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:26.392Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:26.506Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:26.653Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:26.787Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:26.828Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:26.951Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:27.057Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:27.213Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:27.306Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:27.388Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:27.480Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:27.605Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:27.708Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:27.831Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:27.938Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:28.062Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:28.166Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:28.268Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:28.360Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:28.496Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:28.609Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:28.712Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:28.804Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:28.927Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:29.072Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:29.156Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:29.261Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:29.386Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:29.459Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:29.613Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:29.737Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:29.841Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:29.913Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:30.037Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:30.141Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:30.253Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:30.346Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:30.469Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:30.585Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:30.764Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:30.785Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:30.909Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:31.024Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:31.181Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:31.242Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:31.355Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:31.447Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:31.570Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:31.705Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:31.798Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:31.936Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:32.040Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:32.103Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:32.226Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:32.351Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:32.456Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:32.538Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:32.713Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:32.765Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:32.910Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:32.992Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:33.116Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:33.220Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:33.365Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:33.437Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:33.551Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:33.656Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:33.782Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:33.866Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:34.002Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:34.095Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:34.209Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:34.302Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:34.426Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:34.553Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:34.648Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:34.762Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:34.879Z","CAR","V2G CableCheckReq",""
"2023-04-14T09:58:34.971Z","EVSE","V2G CableCheckRes",""
"2023-04-14T09:58:35.066Z","CAR","V2G PreChargeReq",""
"2023-04-14T09:58:35.147Z","EVSE","V2G PreChargeRes",""
"2023-04-14T09:58:35.271Z","EVSE","DC power supply set: 379.5V/2A, requested was 379.5V/2A.",""
"2023-04-14T09:58:35.614Z","CAR","V2G PreChargeReq",""
"2023-04-14T09:58:35.617Z","EVSE","V2G PreChargeRes",""
"2023-04-14T09:58:35.620Z","CAR","V2G PreChargeReq",""
"2023-04-14T09:58:35.623Z","EVSE","V2G PreChargeRes",""
"2023-04-14T09:58:35.719Z","EVSE","DC power supply set: 379.20001220703125V/2A, requested was 379.20001220703125V/2A.",""
"2023-04-14T09:58:35.848Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 379.2, hack_bpt false",""
"2023-04-14T09:58:36.059Z","CAR","V2G PreChargeReq",""
"2023-04-14T09:58:36.062Z","EVSE","V2G PreChargeRes",""
"2023-04-14T09:58:36.063Z","CAR","V2G PreChargeReq",""
"2023-04-14T09:58:36.066Z","EVSE","V2G PreChargeRes",""
"2023-04-14T09:58:36.078Z","CAR","V2G PowerDeliveryReq",""
"2023-04-14T09:58:36.161Z","EVSE","V2G PowerDeliveryRes",""
"2023-04-14T09:58:36.290Z","EVSE","DC power supply set: 413V/0A, requested was 413V/0A.",""
"2023-04-14T09:58:36.299Z","EVSE","Charger state: PrepareCharging->Charging",""
"2023-04-14T09:58:36.661Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:36.663Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:36.669Z","EVSE","DC power supply set: 413V/3.5A, requested was 413V/3.5A.",""
"2023-04-14T09:58:37.000Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:37.002Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:37.004Z","EVSE","DC power supply set: 413V/7.699999809265137A, requested was 413V/7.699999809265137A.",""
"2023-04-14T09:58:37.125Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:37.128Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:37.131Z","EVSE","DC power supply set: 413V/12.5A, requested was 413V/12.5A.",""
"2023-04-14T09:58:37.252Z","EVSE","Change HLC Limits: 10000W/24.213076A, target_voltage 413, hack_bpt false",""
"2023-04-14T09:58:37.256Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:37.259Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:37.263Z","EVSE","DC power supply set: 413V/16.700000762939453A, requested was 413V/16.700000762939453A.",""
"2023-04-14T09:58:37.391Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:37.394Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:37.397Z","EVSE","DC power supply set: 413V/20.899999618530273A, requested was 413V/20.899999618530273A.",""
"2023-04-14T09:58:37.509Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:37.511Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:37.611Z","EVSE","DC power supply set: 413V/24.213075060532688A, requested was 413V/25A.",""
"2023-04-14T09:58:37.708Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:37.712Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:37.790Z","EVSE","DC power supply set: 413V/24A, requested was 413V/24A.",""
"2023-04-14T09:58:37.877Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:37.895Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:38.010Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:38.113Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:38.236Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:38.329Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:38.452Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:38.545Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:38.680Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:38.766Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:38.921Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:39.004Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:39.108Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:39.211Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:39.334Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:39.427Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:39.572Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:39.644Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:39.768Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:39.872Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:40.019Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:40.123Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:40.259Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:40.311Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:40.424Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:40.528Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:40.651Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:40.765Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:40.868Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:40.972Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:41.097Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:41.222Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:41.336Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:41.453Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:41.567Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:41.661Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:41.785Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:41.847Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:41.970Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:42.073Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:42.187Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:42.279Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:42.403Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:42.518Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:42.654Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:42.739Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:42.863Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:42.946Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:43.069Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:43.162Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:43.286Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:43.389Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:43.512Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:43.605Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:43.751Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:43.868Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:43.995Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:44.059Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:44.187Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:44.275Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:44.389Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:44.493Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:44.617Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:44.711Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:44.825Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:44.929Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:45.065Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:45.161Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:45.275Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:45.379Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:45.516Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:45.590Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:45.766Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:45.807Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:45.931Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:46.034Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:46.158Z","CAR","V2G CurrentDemandReq",""
"2023-04-14T09:58:46.241Z","EVSE","V2G CurrentDemandRes",""
"2023-04-14T09:58:46.370Z","CAR","V2G CurrentDemandReq",""
